Active_AUID,Retired_AUID,Historical_AUID
AK_B_1010203_004,AK_B_1010203_002,
AK_B_1010204_006,,AK_B_1010204_001
AK_B_1010204_005,,AK_B_1010204_002
AK_B_1010204_007,,AK_B_1010204_003
AK_B_1010204_004,,AK_B_1010204_006
AK_B_1010204_001,,AK_B_1010204_004
AK_B_1010204_008,,AK_B_1010204_005
AK_B_1010204_003,,AK_B_1010204_007
AK_B_1010204_002,,AK_B_1010204_008
AK_B_1010205_003,AK_B_1010205_001,
AK_B_1010208_001,,
AK_B_1010208_002,,
AK_B_1020902_001,AK-102020-804,
AK_B_1020904_001,AK-10202-806,
AK_B_1021011_001,AK-10202-805,
AK_B_1030106_001,AK-10301-803,
AK_B_1030106_003,AK-10301-805_00,
AK_B_1030107_002,AK-10301-808,
AK_B_1030107_003,AK-10301-807,
AK_B_1030107_007,AK-10301-806,
AK_B_1030308_002,AK-10303-801,
AK_B_1030308_003,AK-10303-803,
AK_B_1030315_003,AK_B_1030308_001,AK-10303-802_00
AK_B_2020302_003,AK-20202-810,
AK_B_2020302_004,AK-20202-827,
AK_B_2020302_005,AK-20202-828,
AK_B_2020302_006,AK-20202-829,
AK_B_2020302_007,AK-20202-830,
AK_B_2020302_008,AK-20202-831,
AK_B_2020302_009,AK-20202-832,
AK_B_2020302_010,AK-20202-833,
AK_B_2020302_011,AK-20202-834,
AK_B_2020302_012,AK-20202-835,
AK_B_2020302_026,AK-20202-822,
AK_B_2020302_027,AK-20202-824,
AK_B_2020302_028,AK-20202-825,
AK_B_2020302_029,AK-20202-826,
AK_B_2020303_001,AK-20202-820,
AK_B_2020303_002,AK-20202-803,
AK_B_2020303_003,AK-20202-806,
AK_B_2020303_004,AK-20202-807,
AK_B_2020303_005,AK-20202-823,
AK_B_2030107_001,AK-20301-801,AK-20301-801_00
AK_B_2030108_005,AK-20301-802,AK-20301-802_00
AK_B_2030218_002,AK_B_2030219_001,
AK_B_2030218_003,AK20302-802,
AK_B_2030218_004,AK_B_2030219_004,AK-20302-805
AK_B_2030218_005,AK_B_2030219_002,AK-20302-804
AK_B_2040108_001,AK-20401-801,
AK_B_3020415_001,AK-30204-803,AK-30204-004_00
AK_B_3020623_001,AK-30204-801,AK-30204-003_00
AK_B_3020623_002,AK-30204-802,
AK_B_3030311_001,AK-30304-801,AK-30304-801_00
AK_B_3030311_002,AK-30304-802,
AK_B_3030311_003,AK-30304-806,
AK_B_5010420_002,AK-50104-802,
AK_L_1010306_001,AK-10103-401,AK-10103-401_00
AK_L_1021211_006,AK-10203-018_00,
AK_L_1021212_005,,
AK_L_1030106_004,AK-10301-401_00,
AK_L_1030106_005,AK-10301-402_00,
AK_L_1030107_001,AK-10301-403_00,
AK_L_1030311_001,AK-10303-401_00,
AK_L_2010202_005,AK-20102-401,AK-20102-401_00
AK_L_2010401_003,AK-20102-402,AK-20102-402_00
AK_L_2010416_005,AK-20201-401_00,
AK_L_2010417_001,AK-20201-402_00,
AK_L_2020102_002,AK-20201-404,
AK_L_2020109_004,AK-20201-403,AK-20201-403_00
AK_L_2030108_001,AK-20301--401,
AK_L_2030111_004,AK-20301-402,AK-20301-402_00
AK_L_2030218_015,AK-20302-401_00,
AK_L_2040105_007,AK-20505-412,
AK_L_2040105_008_001,AK-20505-401_00,
AK_L_2040105_028,AK-20505-410,AK-20505-410_00
AK_L_2040105_036,AK-20505-409_00,
AK_L_2040105_036_001,,
AK_L_2040106_003,AK-20401-402_00,
AK_L_2040106_004,AK-20402-409_00,AK-20401-420_00
AK_L_2040106_009,AK-20401-406_00,
AK_L_2040106_012,AK_L_2040106_005,
AK_L_2040108_008,AK-20401-403_00,
AK_L_2040108_009,AK-20401-408_00,
AK_L_2040108_011,AK-20505-403_00,
AK_L_2040108_014,AK-20401-423,AK-20401-423_00
AK_L_2040108_017,AK-20401-424,AK-20401-424_00
AK_L_2040108_018,AK-20505-404_00,
AK_L_2040108_020,AK-20401-409_00,
AK_L_2040108_024,AK-20401-405_00,
AK_L_2040108_033,AK-20401-404_00,
AK_L_2040108_034,AK-20401-413_00,
AK_L_2040108_039,AK-20401-422,AK-20401-422_00
AK_L_2040108_042,AK-20401-411_00,
AK_L_2040108_043,AK-20401-401_00,
AK_L_2040108_055,AK-20401-419_00,
AK_L_2040108_056,AK-20401-407_00,
AK_L_2040108_057,AK-20402-401_00,
AK_L_2040108_058,AK-20505-402_00,
AK_L_2040108_060,AK-20401-421_00,
AK_L_2040108_063,AK-20401-412,AK-20401-412_01
AK_L_2040205_003,AK-20402-404,AK-20402-404_00
AK_L_2040207_002,AK-20505-411,
AK_L_2040212_006,AK-20402-402_00,
AK_L_2050109_006,AK-20501-401_00,
AK_L_2050512_026,AK-20505-405_00,
AK_L_2050512_030,AK-20505-406_00,
AK_L_2070114_006,AK-20701-405_00,
AK_L_2070115_001,AK-20701-406_00,
AK_L_2070115_002,AK-20701-407,AK-20701-407_00
AK_L_2070115_004,AK-20701-402_00,
AK_L_2070115_023,AK-20701-404_00,
AK_L_2070115_027,AK-20701-403_00,
AK_L_2070115_030,AK-20701-401_00,
AK_L_2070115_036,AK-20701-408_00,AK-30102-409_00
AK_L_3010208_002,AK-30102-401_00,
AK_L_3020512_001,AK-30205-401_00,
AK_L_3020609_004,AK-30206-401_00,
AK_L_5010100_001,AK-50101-401_00,
AK_L_5040317_001,AK-50301-401_00,
AK_L_6040101_001,AK-60402-401_00,
AK_L_6040101_002,AK-60402-402_00,
AK_L_7050621_002,AK-40205-401_00,
AK_L_8030313_001,AK-40503-402_00,
AK_L_8030407_001,AK-40504-401_00,
AK_L_8030508_001,AK-40505-401_00,
