Salinity,pH,Temperature,Magnitude
10,7,0,222.4
10,7.2,0,144.1
10,7.4,0,90.6
10,7.6,0,56.8
10,7.8,0,36.2
10,8,0,22.2
10,8.2,0,14.8
10,8.4,0,9.1
10,8.6,0,6
10,8.8,0,3.8
10,9,0,2.4
10,7,5,157.3
10,7.2,5,99.6
10,7.4,5,63.4
10,7.6,5,39.5
10,7.8,5,25.5
10,8,5,15.6
10,8.2,5,9.9
10,8.4,5,6.5
10,8.6,5,4.1
10,8.8,5,2.7
10,9,5,1.7
10,7,10,107.9
10,7.2,10,68.4
10,7.4,10,42.8
10,7.6,10,27.2
10,7.8,10,17.3
10,8,10,10.7
10,8.2,10,7
10,8.4,10,4.4
10,8.6,10,2.9
10,8.8,10,1.9
10,9,10,1.2
10,7,15,75.8
10,7.2,15,47.8
10,7.4,15,28.8
10,7.6,15,18.9
10,7.8,15,12.4
10,8,15,7.7
10,8.2,15,4.8
10,8.4,15,3
10,8.6,15,2.1
10,8.8,15,1.4
10,9,15,0.9
10,7,20,51.1
10,7.2,20,32.9
10,7.4,20,20.6
10,7.6,20,13.2
10,7.8,20,8.2
10,8,20,5.3
10,8.2,20,3.5
10,8.4,20,2.2
10,8.6,20,1.5
10,8.8,20,1
10,9,20,0.7
10,7,25,36.2
10,7.2,25,22.2
10,7.4,25,14
10,7.6,25,9.1
10,7.8,25,5.8
10,8,25,3.8
10,8.2,25,2.4
10,8.4,25,1.6
10,8.6,25,1.1
10,8.8,25,0.8
10,9,25,0.6
10,7,30,23.9
10,7.2,30,15.6
10,7.4,30,9.9
10,7.6,30,6.3
10,7.8,30,4.1
10,8,30,2.6
10,8.2,30,1.7
10,8.4,30,1.2
10,8.6,30,0.8
10,8.8,30,0.6
10,9,30,0.4
10,7,35,17.3
10,7.2,35,10.7
10,7.4,35,6.8
10,7.6,35,4.6
10,7.8,35,2.9
10,8,35,1.9
10,8.2,35,1.2
10,8.4,35,0.8
10,8.6,35,0.6
10,8.8,35,0.5
10,9,35,0.4
20,7,0,239.6
20,7.2,0,150.7
20,7.4,0,95.5
20,7.6,0,60.1
20,7.8,0,37.9
20,8,0,23.9
20,8.2,0,15.6
20,8.4,0,9.9
20,8.6,0,6.2
20,8.8,0,4
20,9,0,2.6
20,7,5,164.7
20,7.2,5,102.9
20,7.4,5,65.1
20,7.6,5,41.2
20,7.8,5,25.5
20,8,5,16.5
20,8.2,5,10.7
20,8.4,5,6.7
20,8.6,5,4.3
20,8.8,5,2.7
20,9,5,1.9
20,7,10,112.8
20,7.2,10,71.6
20,7.4,10,44.5
20,7.6,10,28.8
20,7.8,10,18.9
20,8,10,11.5
20,8.2,10,7.3
20,8.4,10,4.6
20,8.6,10,3
20,8.8,10,2.1
20,9,10,1.3
20,7,15,79.1
20,7.2,15,49.4
20,7.4,15,30.5
20,7.6,15,18.9
20,7.8,15,12.4
20,8,15,8.1
20,8.2,15,5.1
20,8.4,15,3.3
20,8.6,15,2.2
20,8.8,15,1.4
20,9,15,1
20,7,20,52.7
20,7.2,20,34.6
20,7.4,20,22.2
20,7.6,20,14
20,7.8,20,9.1
20,8,20,5.5
20,8.2,20,3.6
20,8.4,20,2.4
20,8.6,20,1.6
20,8.8,20,1.1
20,9,20,0.7
20,7,25,36.2
20,7.2,25,23.9
20,7.4,25,14.8
20,7.6,25,9.1
20,7.8,25,6.2
20,8,25,4
20,8.2,25,2.6
20,8.4,25,1.6
20,8.6,25,1.2
20,8.8,25,0.8
20,9,25,0.6
20,7,30,25.5
20,7.2,30,16.5
20,7.4,30,9.9
20,7.6,30,6.5
20,7.8,30,4.3
20,8,30,2.7
20,8.2,30,1.7
20,8.4,30,1.2
20,8.6,30,0.8
20,8.8,30,0.6
20,9,30,0.4
20,7,35,17.3
20,7.2,35,11.5
20,7.4,35,7.2
20,7.6,35,4.6
20,7.8,35,2.9
20,8,35,1.9
20,8.2,35,1.3
20,8.4,35,0.9
20,8.6,35,0.6
20,8.8,35,0.5
20,9,35,0.4
30,7,0,256.9
30,7.2,0,161.4
30,7.4,0,102.9
30,7.6,0,65.1
30,7.8,0,41.2
30,8,0,25.5
30,8.2,0,16.5
30,8.4,0,10.5
30,8.6,0,6.7
30,8.8,0,4.3
30,9,0,2.7
30,7,5,171.3
30,7.2,5,111.2
30,7.4,5,70
30,7.6,5,44.5
30,7.8,5,27.2
30,8,5,17.3
30,8.2,5,11.5
30,8.4,5,7.2
30,8.6,5,4.6
30,8.8,5,2.9
30,9,5,1.9
30,7,10,121.9
30,7.2,10,77.4
30,7.4,10,47.8
30,7.6,10,30.5
30,7.8,10,18.9
30,8,10,12.4
30,8.2,10,7.9
30,8.4,10,4.9
30,8.6,10,3.3
30,8.8,10,2.1
30,9,10,1.4
30,7,15,84
30,7.2,15,52.7
30,7.4,15,32.9
30,7.6,15,20.6
30,7.8,15,13.2
30,8,15,8.2
30,8.2,15,5.5
30,8.4,15,3.5
30,8.6,15,2.2
30,8.8,15,1.5
30,9,15,1
30,7,20,58.5
30,7.2,20,36.2
30,7.4,20,22.2
30,7.6,20,17.3
30,7.8,20,9.1
30,8,20,6
30,8.2,20,3.8
30,8.4,20,2.4
30,8.6,20,1.6
30,8.8,20,1.1
30,9,20,0.8
30,7,25,39.5
30,7.2,25,25.5
30,7.4,25,15.6
30,7.6,25,9.9
30,7.8,25,6.5
30,8,25,4.1
30,8.2,25,2.7
30,8.4,25,1.7
30,8.6,25,1.2
30,8.8,25,0.8
30,9,25,0.6
30,7,30,27.2
30,7.2,30,17.3
30,7.4,30,10.7
30,7.6,30,7
30,7.8,30,4.4
30,8,30,2.9
30,8.2,30,1.9
30,8.4,30,1.3
30,8.6,30,0.9
30,8.8,30,0.6
30,9,30,0.5
30,7,35,18.9
30,7.2,35,12.4
30,7.4,35,7.7
30,7.6,35,4.9
30,7.8,35,3
30,8,35,2.1
30,8.2,35,1.4
30,8.4,35,0.9
30,8.6,35,0.7
30,8.8,35,0.5
30,9,35,0.4
