Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Min_Assess_Period_Yrs,Minimum number of data points,Min_Num_Pts,Other Requirements,Listing methodology,Notes
Freshwater,Toxics,"Dichlorobenzene 1,2-","1,2-DICHLOROBENZENE-D4",,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,2-","1,2-DICHLOROBENZENE-D4",,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,2-","1,2-DICHLOROBENZENE-D4",,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,3-","1,3-DICHLOROBENZENE",,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,3-","1,3-DICHLOROBENZENE",,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,4-","1,4-DICHLOROBENZENE-D4",,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,4-","1,4-DICHLOROBENZENE-D4",,Human Health,Water and Aquatic Organisms,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,"Dichlorobenzene 1,4-","1,4-DICHLOROBENZENE-D4",,Human Health,Aquatic Organisms Only,,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Alkalinity,ALKALINITY,,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Alkalinity,ALKALINITY,,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,Aquatic Life,,Acute,2 years,2,5,5,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Aluminum,ALUMINUM,Total Recoverable  ,Aquatic Life,,Chronic,2 years,2,18,18,"18 results required for existing impaired, to determine attainment",CALM,
Freshwater,Toxics,Ammonia,AMMONIA,,Aquatic Life,,Chronic,2 years,2,10,10,"15 results required for existing impaired, to determine attainment",CALM,
