Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Other Requirements,Listing methodology,Notes
Freshwater,Bacteria,E. coli,ESCHERICHIA COLI,,Primary Contact Recreation,,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Enterococci,ENTEROCOCCUS,,Primary Contact Recreation,,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Secondary Contact Recreation,,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Groundwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,"Drinking, Culinary, and Food Processing",,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,"Drinking, Culinary, and Food Processing",,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Aquaculture,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Industrial,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 water years,20,"15 samples first year, 5 samples second year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Secondary Contact Recreation,,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Aquaculture,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Seafood Processing,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Industrial,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,Water Supply,Aquaculture,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,
Freshwater,Conventional,Chloride,CHLORIDE,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Conventional,Color,COLOR,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Conventional,Color,COLOR,,Primary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Conventional,Color,COLOR,,Water Supply,"Drinking, Culinary, and Food Processing",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Conventional,Color,COLOR,,Water Supply,Aquaculture,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Conventional,Color,COLOR,,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Conventional,Color,COLOR,,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Conventional,Color,COLOR,,Primary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Conventional,Color,COLOR,,Water Supply,Seafood Processing,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Marine,Conventional,Color,COLOR,,Water Supply,Aquaculture,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Primary Contact Recreation,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
Freshwater,Dissolved Gas,Dissolved Oxygen,DISSOLVED OXYGEN (DO),,Water Supply,"Agriculture, Including Irrigation and Stock Watering",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,
