Waterbody Type,Constituent Group,Constituent,TADA.Constituent,Fraction,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Other Requirements,Listing methodology,Notes,Min_Assess_Period_Yrs,Min_Num_Pts,Dec Use,DEC Use Description
Freshwater,Bacteria,E. coli,ESCHERICHIA COLI,,WATER RECREATION,CONTACT RECREATION,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Primary Contact Recreation,
Marine,Bacteria,Enterococci,ENTEROCOCCUS,,WATER RECREATION,CONTACT RECREATION,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Primary Contact Recreation,
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER RECREATION,SECONDARY RECREATION,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Secondary Contact Recreation,
Groundwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,AQUACULTURE,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Water Supply,Aquaculture
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,INDUSTRIAL,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Water Supply,Industrial
Freshwater,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,"AGRICULTURE, INCLUDING IRRIGATION AND STOCK WATERING",,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Water Supply,"Agriculture, Including Irrigation and Stock Watering"
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 water years,20,"15 samples first year, 5 samples second year",Pathogens,,2,20,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER RECREATION,SECONDARY RECREATION,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Secondary Contact Recreation,
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,AQUACULTURE,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Water Supply,Aquaculture
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,SEAFOOD PROCESSING,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Water Supply,Seafood Processing
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,,WATER SUPPLY,INDUSTRIAL,,2 water years,10,"5 samples w/in 30 days, each year",Pathogens,,2,10,Water Supply,Industrial
Freshwater,Conventional,Chloride,CHLORIDE,Dissolved,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Conventional,Color,COLOR,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife"
Freshwater,Conventional,Color,COLOR,,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Primary Contact Recreation,
Freshwater,Conventional,Color,COLOR,,WATER SUPPLY,"DRINKING, CULINARY, AND FOOD PROCESSING",,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,"Drinking, Culinary, and Food Processing"
Freshwater,Conventional,Color,COLOR,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Aquaculture
Marine,Conventional,Color,COLOR,,"GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,"Growth and Propagation of Fish, Shellfish, Other Aquatic Life, and Wildlife"
Marine,Conventional,Color,COLOR,,HARVESTING FOR CONSUMPTION OF RAW MOLLUSKS OR OTHER RAW AQUATIC LIFE,,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life
Marine,Conventional,Color,COLOR,,WATER RECREATION,CONTACT RECREATION,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Primary Contact Recreation,
Marine,Conventional,Color,COLOR,,WATER SUPPLY,SEAFOOD PROCESSING,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Seafood Processing
Marine,Conventional,Color,COLOR,,WATER SUPPLY,AQUACULTURE,,2 years,10,"15 results required for existing impaired, to determine attainment",CALM,,2,10,Water Supply,Aquaculture
