OrganizationIdentifier,MonitoringLocationIdentifier,ML_ID,ML_Name,Latitude,Longitude,HUC10_ID,Name_AU,AUID_ATTNS,Type,NavStatus
21AKBCH,21AKBCH-AK103349,AK103349,Hoonah Beach-Gartina Harbor Way,58.105833330000003,-135.4425,1901021109,Garteeni Harbor Way beach,AK_M_1021109_013,Marine,Navigable
21AKBCH,21AKBCH-AK168123,AK168123,Ketchikan - MtnPt Surprise Beach,55.293529999999997,-131.5475,1901010208,Mountain Pt Surprise Beach,AK_B_1010208_002,Beach,Navigable
21AKBCH,21AKBCH-AK212340,AK212340,Ketchikan - Sunset,55.412610000000001,-131.76505,1901010204,Sunset Beach,AK_B_1010204_003,Beach,Navigable
21AKBCH,21AKBCH-AK346845,AK346845,Ketchikan - Mtn Pt Cultural Food,55.292789999999997,-131.53917,1901010208,Mountain Pt Cultural Food Beach,AK_B_1010208_001,Beach,Navigable
21AKBCH,21AKBCH-AK365539,AK365539,Ketchikan - RotaryPool,55.308750000000003,-131.57759,1901010204,Rotary Pool,AK_B_1010204_007,Beach,Navigable
21AKBCH,21AKBCH-AK406019,AK406019,Ketchikan - Knudson,55.472079999999998,-131.79632,1901010203,Knudson Cove Beach,AK_B_1010203_001,Beach,Navigable
21AKBCH,21AKBCH-AK439531,AK439531,Ketchikan - RotaryBeach,55.309820000000002,-131.58028,1901010204,Rotary Park Beach,AK_B_1010204_008,Beach,Navigable
21AKBCH,21AKBCH-AK466549,AK466549,Ketchikan - Shull,55.435440000000000,-131.79851,1901010204,Shull Beach,AK_B_1010204_002,Beach,Navigable
21AKBCH,21AKBCH-AK495900,AK495900,Ketchikan - Seaport,55.314619999999998,-131.5932,1901010204,Seaport Beach,AK_B_1010204_006,Beach,Navigable
21AKBCH,21AKBCH-AK508635,AK508635,Ketchikan - Thomas Basin,55.341250000000002,-131.64179,1901010204,Thomas Basin Harbor,AK_B_1010204_005,Beach,Navigable
21AKBCH,21AKBCH-AK544485,AK544485,Ketchikan - Refuge,55.407389999999999,-131.75549,1901010204,Refuge Cove Beach,AK_B_1010204_004,Beach,Navigable
21AKBCH,21AKBCH-AK549954,AK549954,Ketchikan - Herring,55.326270000000001,-131.52278,1901010205,Herring Cove,AK_B_1010205_001,Beach,Navigable
21AKBCH,21AKBCH-AK551272-002,AK551272-002,North Kenai Beach site 2,60.550570000000000,-151.27206,1902030218,North Kenai Beach,AK_B_2030218_002,Beach,Navigable
