Col_Name,Keep_YN,TADA_Col_YN,TADA_Col_Name
OrganizationIdentifier,Yes,No,
OrganizationFormalName,Yes,No,
ActivityIdentifier,Yes,No,
ActivityTypeCode,Yes,No,
ActivityMediaName,No,Yes,TADA.ActivityMediaName
ActivityMediaSubdivisionName,Yes,No,
ActivityStartDate,Yes,No,
ActivityStartTime.Time,Yes,No,
ActivityStartTime.TimeZoneCode,Yes,No,
ActivityEndDate,Yes,No,
ActivityEndTime.Time,Yes,No,
ActivityEndTime.TimeZoneCode,No,No,
ActivityRelativeDepthName,Yes,No,
ActivityDepthHeightMeasure.MeasureValue,No,Yes,TADA.ActivityDepthHeightMeasure.MeasureValue
ActivityDepthHeightMeasure.MeasureUnitCode,No,Yes,TADA.ActivityDepthHeightMeasure.MeasureUnitCode
ProjectIdentifier,Yes,No,
ProjectName,Yes,No,
ActivityConductingOrganizationText,Yes,No,
MonitoringLocationIdentifier,Yes,No,
MonitoringLocationName,Yes,No,
ActivityCommentText,Yes,No,
HydrologicCondition,Yes,No,
HydrologicEvent,Yes,No,
ActivityLocation.LatitudeMeasure,No,No,
ActivityLocation.LongitudeMeasure,No,No,
SampleCollectionMethod.MethodIdentifier,Yes,No,
SampleCollectionMethod.MethodIdentifierContext,Yes,No,
SampleCollectionMethod.MethodName,Yes,No,
SampleCollectionMethod.MethodDescriptionText,No,No,
SampleCollectionEquipmentName,Yes,No,
ResultIdentifier,Yes,No,
ResultDetectionConditionText,Yes,No,
MethodSpeciationName,Yes,No,
CharacteristicName,No,Yes,TADA.CharacteristicName
ResultSampleFractionText,No,Yes,TADA.ResultSampleFractionText
ResultMeasureValue,No,Yes,TADA.ResultMeasureValue
ResultMeasure.MeasureUnitCode,No,Yes,TADA.ResultMeasure.MeasureUnitCode
MeasureQualifierCode,Yes,No,
ResultStatusIdentifier,Yes,No,
StatisticalBaseCode,Yes,No,
ResultValueTypeName,Yes,No,
ResultTimeBasisText,Yes,No,
ResultTemperatureBasisText,No,No,
ResultCommentText,No,No,
USGSPCode,No,No,
ResultAnalyticalMethod.MethodIdentifier,Yes,No,
ResultAnalyticalMethod.MethodIdentifierContext,No,No,
ResultAnalyticalMethod.MethodName,Yes,No,
ResultAnalyticalMethod.MethodDescriptionText,Yes,No,
LaboratoryName,No,No,
AnalysisStartDate,Yes,No,
ResultLaboratoryCommentText,Yes,No,
ResultDetectionQuantitationLimitUrl,No,No,
DetectionQuantitationLimitTypeName,Yes,No,
DetectionQuantitationLimitMeasure.MeasureValue,No,Yes,TADA.DetectionQuantitationLimitMeasure.MeasureValue
DetectionQuantitationLimitMeasure.MeasureUnitCode,No,Yes,TADA.DetectionQuantitationLimitMeasure.MeasureUnitCode
LastUpdated,Yes,No,
ProviderName,No,No,
timeZoneStart,No,No,
timeZoneEnd,No,No,
ActivityStartDateTime,Yes,No,
ActivityEndDateTime,Yes,No,
MonitoringLocationTypeName,Yes,No,
MonitoringLocationDescriptionText,Yes,No,
HUCEightDigitCode,Yes,No,
LatitudeMeasure,No,Yes,TADA.LatitudeMeasure
LongitudeMeasure,No,Yes,TADA.LongitudeMeasure
SourceMapScaleNumeric,No,No,
HorizontalAccuracyMeasure.MeasureValue,No,No,
HorizontalAccuracyMeasure.MeasureUnitCode,No,No,
HorizontalCollectionMethodName,No,No,
HorizontalCoordinateReferenceSystemDatumName,No,No,
VerticalMeasure.MeasureValue,No,No,
VerticalMeasure.MeasureUnitCode,No,No,
VerticalAccuracyMeasure.MeasureValue,No,No,
VerticalAccuracyMeasure.MeasureUnitCode,No,No,
VerticalCollectionMethodName,No,No,
VerticalCoordinateReferenceSystemDatumName,No,No,
CountryCode,No,No,
StateCode,No,No,
CountyCode,No,No,
MethodSpecificationName,No,Yes,TADA.MethodSpecificationName
ProjectDescriptionText,Yes,No,
SamplingDesignTypeCode,Yes,No,
QAPPApprovedIndicator,Yes,No,
QAPPApprovalAgencyName,Yes,No,
ProjectFileUrl,No,No,
TADA.ResultValueBelowLowerThreshold.Flag,Yes,No,
TADA.ActivityType.Flag,Yes,No,
TADA.ActivityMediaName,Yes,No,
TADA.CharacteristicName,Yes,No,
TADA.CharacteristicNameAssumptions,Yes,No,
TADA.ResultMeasureValue,Yes,No,
TADA.ResultMeasure.MeasureUnitCode,Yes,No,
TADA.WQXResultUnitConversion,Yes,No,
TADA.ResultMeasureValueDataTypes.Flag,Yes,No,
TADA.MeasureQualifierCode.Flag,Yes,No,
TADA.CensoredData.Flag,Yes,No,
TADA.CensoredMethod,Yes,No,
TADA.LatitudeMeasure,Yes,No,
TADA.LongitudeMeasure,Yes,No,
TADA.InvalidCoordinates.Flag,Yes,No,
TADA.NearbySiteGroups,Yes,No,
TADA.AggregatedContinuousData.Flag,Yes,No,
TADA.ResultValueAboveUpperThreshold.Flag,Yes,No,
TADA.ResultUnit.Flag,Yes,No,
TADA.MethodSpecificationName,Yes,No,
TADA.AnalyticalMethod.Flag,Yes,No,
TADA.MethodSpeciation.Flag,Yes,No,
TADA.SpeciationAssumptions,Yes,No,
TADA.ResultSampleFractionText,Yes,No,
TADA.SampleFraction.Flag,Yes,No,
TADA.FractionAssumptions,Yes,No,
TADA.ComparableDataIdentifier,Yes,No,
TADA.DetectionQuantitationLimitMeasure.MeasureValue,Yes,No,
TADA.DetectionQuantitationLimitMeasure.MeasureUnitCode,Yes,No,
TADA.DetectionQuantitationLimitMeasure.MeasureValueDataTypes.Flag,Yes,No,
TADA.ActivityDepthHeightMeasure.MeasureValue,Yes,No,
TADA.ActivityDepthHeightMeasure.MeasureUnitCode,Yes,No,
TADA.ActivityDepthHeightMeasure.MeasureValueDataTypes.Flag,Yes,No,
TADA.ActivityTopDepthHeightMeasure.MeasureValueDataTypes.Flag,Yes,No,
TADA.ActivityBottomDepthHeightMeasure.MeasureValueDataTypes.Flag,Yes,No,
TADA.ResultDepthHeightMeasure.MeasureValueDataTypes.Flag,Yes,No,
TADA.MultipleOrgDuplicate,Yes,No,
TADA.MultipleOrgDupGroupID,Yes,No,
TADA.ResultSelectedMultipleOrgs,Yes,No,
TADA.SingleOrgDupGroupID,Yes,No,
TADA.ResultSelectedSingleOrg,Yes,No,
TADA.Harmonized.Flag,Yes,No,
