ActivityTypeCode,ActivityMediaName,TADA.ActivityMediaName,ActivityMediaSubdivisionName,ResultSampleFractionText,TADA.ResultSampleFractionText,CharacteristicName,TADA.CharacteristicName,SubjectTaxonomicName,SampleTissueAnatomyName,MethodSpeciationName,TADA.MethodSpeciationName,TADA.ComparableDataIdentifier,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityStartDateTime,ResultMeasureValue,ResultMeasure.MeasureUnitCode,TADA.ResultMeasureValue,TADA.ResultMeasure.MeasureUnitCode,TADA.WQXResultUnitConversion,ResultValueTypeName,TADA.ResultMeasureValueDataTypes.Flag,ResultDetectionConditionText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,TADA.DetectionQuantitationLimitMeasure.MeasureValue,TADA.DetectionQuantitationLimitMeasure.MeasureUnitCode,TADA.DetectionQuantitationLimitMeasure.MeasureValueDataTypes.Flag,ResultDepthHeightMeasure.MeasureValue,TADA.ResultDepthHeightMeasure.MeasureValue,TADA.ResultDepthHeightMeasure.MeasureValueDataTypes.Flag,ResultDepthHeightMeasure.MeasureUnitCode,TADA.ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,ActivityRelativeDepthName,ActivityDepthHeightMeasure.MeasureValue,TADA.ActivityDepthHeightMeasure.MeasureValue,TADA.ActivityDepthHeightMeasure.MeasureValueDataTypes.Flag,ActivityDepthHeightMeasure.MeasureUnitCode,TADA.ActivityDepthHeightMeasure.MeasureUnitCode,ActivityTopDepthHeightMeasure.MeasureValue,TADA.ActivityTopDepthHeightMeasure.MeasureValue,TADA.ActivityTopDepthHeightMeasure.MeasureValueDataTypes.Flag,ActivityTopDepthHeightMeasure.MeasureUnitCode,TADA.ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,TADA.ActivityBottomDepthHeightMeasure.MeasureValue,TADA.ActivityBottomDepthHeightMeasure.MeasureValueDataTypes.Flag,ActivityBottomDepthHeightMeasure.MeasureUnitCode,TADA.ActivityBottomDepthHeightMeasure.MeasureUnitCode,ResultTimeBasisText,StatisticalBaseCode,ResultFileUrl,ResultAnalyticalMethod.MethodName,ResultAnalyticalMethod.MethodDescriptionText,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodUrl,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionMethod.MethodDescriptionText,SampleCollectionEquipmentName,MeasureQualifierCode,ResultStatusIdentifier,ResultCommentText,ActivityCommentText,HydrologicCondition,HydrologicEvent,DataQuality.PrecisionValue,DataQuality.BiasValue,DataQuality.ConfidenceIntervalValue,DataQuality.UpperConfidenceLimitValue,DataQuality.LowerConfidenceLimitValue,SamplingDesignTypeCode,LaboratoryName,ResultLaboratoryCommentText,ResultIdentifier,ActivityIdentifier,OrganizationIdentifier,OrganizationFormalName,ProjectName,ProjectDescriptionText,ProjectIdentifier,ProjectFileUrl,QAPPApprovedIndicator,QAPPApprovalAgencyName,CountryCode,StateCode,CountyCode,MonitoringLocationName,TADA.MonitoringLocationName,MonitoringLocationTypeName,TADA.MonitoringLocationTypeName,MonitoringLocationDescriptionText,LatitudeMeasure,TADA.LatitudeMeasure,LongitudeMeasure,TADA.LongitudeMeasure,HorizontalCoordinateReferenceSystemDatumName,HUCEightDigitCode,MonitoringLocationIdentifier,TADA.MonitoringLocationIdentifier,AquiferName,AquiferTypeName,LocalAqfrName,ConstructionDateText,WellDepthMeasure.MeasureValue,WellDepthMeasure.MeasureUnitCode,WellHoleDepthMeasure.MeasureValue,WellHoleDepthMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityEndDateTime,ActivityConductingOrganizationText,SampleAquifer,ActivityLocation.LatitudeMeasure,ActivityLocation.LongitudeMeasure,ResultWeightBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,USGSPCode,BinaryObjectFileName,BinaryObjectFileTypeCode,AnalysisStartDate,ResultDetectionQuantitationLimitUrl,LabSamplePreparationUrl,ActivityStartTime.TimeZoneCode_offset,ActivityEndTime.TimeZoneCode_offset,SourceMapScaleNumeric,HorizontalAccuracyMeasure.MeasureValue,HorizontalAccuracyMeasure.MeasureUnitCode,HorizontalCollectionMethodName,VerticalMeasure.MeasureValue,VerticalMeasure.MeasureUnitCode,VerticalAccuracyMeasure.MeasureValue,VerticalAccuracyMeasure.MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,FormationTypeText,ProjectMonitoringLocationWeightingUrl,DrainageAreaMeasure.MeasureValue,DrainageAreaMeasure.MeasureUnitCode,ContributingDrainageAreaMeasure.MeasureValue,ContributingDrainageAreaMeasure.MeasureUnitCode,ProviderName,LastUpdated
Sample-Routine,Water,WATER,Surface Water,NA,NA,"Temperature, water","TEMPERATURE, WATER",NA,NA,NA,NA,"TEMPERATURE, WATER_NA_NA_DEG C",2021-08-14,11:30:00,AKDT,2021-08-14 19:30:00,7.8,deg C,7.8,DEG C,Convert,Actual,Numeric,NA,NA,NA,NA,NA,NA,NA - Not Available,NA,NA,NA - Not Available,NA,NA,NA,NA,4.5,1.3716000000000002,Numeric,feet,m,NA,NA,NA - Not Available,NA,NA,NA,NA,NA - Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,USGS parameter code 82398,"Single vertical, depth integrated",NA,Van Dorn sampler,NA,Preliminary,NA,NA,"Stable, normal stage",Routine sample,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NWIS-121857025,nwisak.01.02100232,USGS-AK,USGS Alaska Water Science Center,NA,NA,NA,NA,NA,NA,US,02,185,NA,NA,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",NA,70.0359458,70.0359458,-143.2305374,-143.2305374,NAD83,19060502,USGS-700210143134000,USGS-700210143134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NA,NA,NA,NA,NA,00010,NA,NA,NA,NA,NA,8,NA,NA,Unknown,Unknown,Interpolated from MAP.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,NA
Sample-Routine,Water,WATER,Surface Water,NA,NA,Barometric pressure,BAROMETRIC PRESSURE,NA,NA,NA,NA,BAROMETRIC PRESSURE_NA_NA_MM/HG,2021-08-14,11:30:00,AKDT,2021-08-14 19:30:00,751,mm/Hg,751,MM/HG,No Target Unit,Actual,Numeric,NA,NA,NA,NA,NA,NA,NA - Not Available,NA,NA,NA - Not Available,NA,NA,NA,NA,4.5,1.3716000000000002,Numeric,feet,m,NA,NA,NA - Not Available,NA,NA,NA,NA,NA - Not Available,NA,NA,NA,NA,NA,"Atmospheric pressure, barometer",USGS National Field Manual,BAROM,USGS,NA,30,USGS parameter code 82398,"Single vertical, depth integrated",NA,Van Dorn sampler,NA,Preliminary,NA,NA,"Stable, normal stage",Routine sample,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NWIS-121857026,nwisak.01.02100232,USGS-AK,USGS Alaska Water Science Center,NA,NA,NA,NA,NA,NA,US,02,185,NA,NA,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",NA,70.0359458,70.0359458,-143.2305374,-143.2305374,NAD83,19060502,USGS-700210143134000,USGS-700210143134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NA,NA,NA,NA,NA,00025,NA,NA,NA,NA,NA,8,NA,NA,Unknown,Unknown,Interpolated from MAP.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,NA
Sample-Routine,Water,WATER,Surface Water,NA,NA,Number of sampling points,NUMBER OF SAMPLING POINTS,NA,NA,NA,NA,NUMBER OF SAMPLING POINTS_NA_NA_COUNT,2021-08-14,11:30:00,AKDT,2021-08-14 19:30:00,1,count,1,COUNT,Convert,Actual,Numeric,NA,NA,NA,NA,NA,NA,NA - Not Available,NA,NA,NA - Not Available,NA,NA,NA,NA,4.5,1.3716000000000002,Numeric,feet,m,NA,NA,NA - Not Available,NA,NA,NA,NA,NA - Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,USGS parameter code 82398,"Single vertical, depth integrated",NA,Van Dorn sampler,NA,Preliminary,NA,NA,"Stable, normal stage",Routine sample,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NWIS-121857027,nwisak.01.02100232,USGS-AK,USGS Alaska Water Science Center,NA,NA,NA,NA,NA,NA,US,02,185,NA,NA,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",NA,70.0359458,70.0359458,-143.2305374,-143.2305374,NAD83,19060502,USGS-700210143134000,USGS-700210143134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NA,NA,NA,NA,NA,00063,NA,NA,NA,NA,NA,8,NA,NA,Unknown,Unknown,Interpolated from MAP.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,NA
Sample-Routine,Water,WATER,Surface Water,Total,TOTAL,Specific conductance,SPECIFIC CONDUCTANCE,NA,NA,NA,NA,SPECIFIC CONDUCTANCE_TOTAL_NA_US/CM @25C,2021-08-14,11:30:00,AKDT,2021-08-14 19:30:00,142,uS/cm @25C,142,US/CM @25C,No Target Unit,Actual,Numeric,NA,NA,NA,NA,NA,NA,NA - Not Available,NA,NA,NA - Not Available,NA,NA,NA,NA,4.5,1.3716000000000002,Numeric,feet,m,NA,NA,NA - Not Available,NA,NA,NA,NA,NA - Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,USGS parameter code 82398,"Single vertical, depth integrated",NA,Van Dorn sampler,NA,Preliminary,NA,NA,"Stable, normal stage",Routine sample,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NWIS-121857028,nwisak.01.02100232,USGS-AK,USGS Alaska Water Science Center,NA,NA,NA,NA,NA,NA,US,02,185,NA,NA,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",NA,70.0359458,70.0359458,-143.2305374,-143.2305374,NAD83,19060502,USGS-700210143134000,USGS-700210143134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NA,NA,NA,25 deg C,NA,00095,NA,NA,NA,NA,NA,8,NA,NA,Unknown,Unknown,Interpolated from MAP.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,NA
Sample-Routine,Water,WATER,Surface Water,Total,TOTAL,"Acidity, (H+)","ACIDITY, (H+)",NA,NA,NA,NA,"ACIDITY, (H+)_TOTAL_NA_UG/L",2021-08-14,11:30:00,AKDT,2021-08-14 19:30:00,0.00002,mg/l,0.02,UG/L,Convert,Actual,Numeric,NA,NA,NA,NA,NA,NA,NA - Not Available,NA,NA,NA - Not Available,NA,NA,NA,NA,4.5,1.3716000000000002,Numeric,feet,m,NA,NA,NA - Not Available,NA,NA,NA,NA,NA - Not Available,NA,NA,NA,NA,NA,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,NA,30,USGS parameter code 82398,"Single vertical, depth integrated",NA,Van Dorn sampler,NA,Preliminary,NA,NA,"Stable, normal stage",Routine sample,NA,NA,NA,NA,NA,NA,NA,NA,NWIS-121857029,nwisak.01.02100232,USGS-AK,USGS Alaska Water Science Center,NA,NA,NA,NA,NA,NA,US,02,185,NA,NA,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",NA,70.0359458,70.0359458,-143.2305374,-143.2305374,NAD83,19060502,USGS-700210143134000,USGS-700210143134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NA,NA,NA,NA,NA,00191,NA,NA,NA,NA,NA,8,NA,NA,Unknown,Unknown,Interpolated from MAP.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,NA
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Oxygen,OXYGEN,NA,NA,NA,NA,OXYGEN_DISSOLVED_NA_UG/L,2021-08-14,11:30:00,AKDT,2021-08-14 19:30:00,11.6,mg/l,11600,UG/L,Convert,Actual,Numeric,NA,NA,NA,NA,NA,NA,NA - Not Available,NA,NA,NA - Not Available,NA,NA,NA,NA,4.5,1.3716000000000002,Numeric,feet,m,NA,NA,NA - Not Available,NA,NA,NA,NA,NA - Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,USGS parameter code 82398,"Single vertical, depth integrated",NA,Van Dorn sampler,NA,Preliminary,NA,NA,"Stable, normal stage",Routine sample,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NWIS-121857030,nwisak.01.02100232,USGS-AK,USGS Alaska Water Science Center,NA,NA,NA,NA,NA,NA,US,02,185,NA,NA,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",NA,70.0359458,70.0359458,-143.2305374,-143.2305374,NAD83,19060502,USGS-700210143134000,USGS-700210143134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NA,NA,NA,NA,NA,00300,NA,NA,NA,NA,NA,8,NA,NA,Unknown,Unknown,Interpolated from MAP.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,NA
Sample-Routine,Water,WATER,Surface Water,Dissolved,DISSOLVED,Oxygen,OXYGEN,NA,NA,NA,NA,OXYGEN_DISSOLVED_NA_% SATURATN,2021-08-14,11:30:00,AKDT,2021-08-14 19:30:00,99,% saturatn,99,% SATURATN,No Target Unit,Actual,Numeric,NA,NA,NA,NA,NA,NA,NA - Not Available,NA,NA,NA - Not Available,NA,NA,NA,NA,4.5,1.3716000000000002,Numeric,feet,m,NA,NA,NA - Not Available,NA,NA,NA,NA,NA - Not Available,NA,NA,NA,NA,NA,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,NA,30,USGS parameter code 82398,"Single vertical, depth integrated",NA,Van Dorn sampler,NA,Preliminary,NA,NA,"Stable, normal stage",Routine sample,NA,NA,NA,NA,NA,NA,NA,NA,NWIS-121857031,nwisak.01.02100232,USGS-AK,USGS Alaska Water Science Center,NA,NA,NA,NA,NA,NA,US,02,185,NA,NA,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",NA,70.0359458,70.0359458,-143.2305374,-143.2305374,NAD83,19060502,USGS-700210143134000,USGS-700210143134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NA,NA,NA,NA,NA,00301,NA,NA,NA,NA,NA,8,NA,NA,Unknown,Unknown,Interpolated from MAP.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,NA
Sample-Routine,Water,WATER,Surface Water,Total,TOTAL,pH,PH,NA,NA,NA,NA,PH_TOTAL_NA_STD UNITS,2021-08-14,11:30:00,AKDT,2021-08-14 19:30:00,7.8,std units,7.8,STD UNITS,No Target Unit,Actual,Numeric,NA,NA,NA,NA,NA,NA,NA - Not Available,NA,NA,NA - Not Available,NA,NA,NA,NA,4.5,1.3716000000000002,Numeric,feet,m,NA,NA,NA - Not Available,NA,NA,NA,NA,NA - Not Available,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,USGS parameter code 82398,"Single vertical, depth integrated",NA,Van Dorn sampler,NA,Preliminary,NA,NA,"Stable, normal stage",Routine sample,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NWIS-121857032,nwisak.01.02100232,USGS-AK,USGS Alaska Water Science Center,NA,NA,NA,NA,NA,NA,US,02,185,NA,NA,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",NA,70.0359458,70.0359458,-143.2305374,-143.2305374,NAD83,19060502,USGS-700210143134000,USGS-700210143134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NA,NA,NA,NA,NA,00400,NA,NA,NA,NA,NA,8,NA,NA,Unknown,Unknown,Interpolated from MAP.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,NA
Sample-Routine,Water,WATER,Surface Water,Total,TOTAL,pH,PH,NA,NA,NA,NA,PH_TOTAL_NA_STD UNITS,2021-08-14,11:30:00,AKDT,2021-08-14 19:30:00,8.0,std units,8,STD UNITS,No Target Unit,Actual,Numeric,NA,Lower Reporting Limit,0.1,std units,0.1,STD UNITS,Numeric,NA,NA,NA - Not Available,NA,NA,NA,NA,4.5,1.3716000000000002,Numeric,feet,m,NA,NA,NA - Not Available,NA,NA,NA,NA,NA - Not Available,NA,NA,NA,NA,NA,"pH, lab, auto glass electrode","USGS TWRI 5-A1/1989, p 363",EL006,USGS,NA,30,USGS parameter code 82398,"Single vertical, depth integrated",NA,Van Dorn sampler,NA,Preliminary,NA,NA,"Stable, normal stage",Routine sample,NA,NA,NA,NA,NA,NA,"USGS-National Water Quality Lab, Denver, CO",NA,NWIS-121857033,nwisak.01.02100232,USGS-AK,USGS Alaska Water Science Center,NA,NA,NA,NA,NA,NA,US,02,185,NA,NA,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",NA,70.0359458,70.0359458,-143.2305374,-143.2305374,NAD83,19060502,USGS-700210143134000,USGS-700210143134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NA,NA,NA,NA,NA,00403,NA,NA,2021-09-09,NA,NA,8,NA,NA,Unknown,Unknown,Interpolated from MAP.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,NA
Sample-Routine,Water,WATER,Surface Water,Total,TOTAL,Carbon dioxide,CARBON DIOXIDE,NA,NA,NA,NA,CARBON DIOXIDE_TOTAL_NA_UG/L,2021-08-14,11:30:00,AKDT,2021-08-14 19:30:00,1.5,mg/l,1500,UG/L,Convert,Actual,Numeric,NA,NA,NA,NA,NA,NA,NA - Not Available,NA,NA,NA - Not Available,NA,NA,NA,NA,4.5,1.3716000000000002,Numeric,feet,m,NA,NA,NA - Not Available,NA,NA,NA,NA,NA - Not Available,NA,NA,NA,NA,NA,Computation by NWIS algorithm,"NWIS User's Manual, QW System, Section 3.6.7",ALGOR,USGS,NA,30,USGS parameter code 82398,"Single vertical, depth integrated",NA,Van Dorn sampler,NA,Preliminary,NA,NA,"Stable, normal stage",Routine sample,NA,NA,NA,NA,NA,NA,NA,NA,NWIS-121857034,nwisak.01.02100232,USGS-AK,USGS Alaska Water Science Center,NA,NA,NA,NA,NA,NA,US,02,185,NA,NA,"Lake, Reservoir, Impoundment","LAKE, RESERVOIR, IMPOUNDMENT",NA,70.0359458,70.0359458,-143.2305374,-143.2305374,NAD83,19060502,USGS-700210143134000,USGS-700210143134000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,NA,NA,NA,NA,NA,NA,00405,NA,NA,NA,NA,NA,8,NA,NA,Unknown,Unknown,Interpolated from MAP.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,NA
