MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,AUID_ATTNS,Name_AU,HUC10,dist_to_AU_m,Longitude,Latitude,NameSimilarityScore
21AKBCH-AK301573,Ketchikan - Beacon Hill,BEACH Program Site-Ocean,AK_B_1010203_002,Beacon Hill Beach,1901010203,28.2193921910956,-131.82305,55.472280000000026,0.63
21AKBCH-AK164406,Kenai River Gull Rookery 1,BEACH Program Site-Ocean,AK_B_2030218_002,Kenai River Gull Rookery 1 Beach,1902030218,76.9559510953069,-151.254,60.53659999999995,0.94
21AKBCH-AK553928,Kenai River Gull Rookery 2,BEACH Program Site-Ocean,AK_B_2030218_002,Kenai River Gull Rookery 2,1902030218,120.844242695213,-151.244,60.55180000000001,1
21AKBCH-AK605404-001,"Sandy Beach Park, Petersburg",BEACH Program Site-Ocean,AK_B_1021001_001,Sandy Beach Park Petersburg,1901021001,87.5799018288786,-132.91760833,56.805213889999976,0.99
21AKBCH-AK574820,Warren Ames Bridge,BEACH Program Site-Ocean,AK_B_2030218_004,Warren Ames Bridge Beach,1902030218,70.2739824764238,-151.20647,60.525899999999986,0.92
21AKBCH-AK916382,Skagway - Smuggler's Cove,BEACH Program Site-Ocean,AK_B_1030305_001,Smuggler's Cove (Skagway),1901030305,1.2830153562686,-135.335212,59.47893100000004,0.66
21AKBCH-AK813073,Lighthouse Beach,BEACH Program Site-Ocean,AK_B_2070116_001,Pasagshak Beach,1902070116,55616.7027574621,-153.280188,57.21092400000002,0.63
21AKBCH-AK416279,Skagway - Airport Beach,BEACH Program Site-Ocean,AK_B_1030305_003,Yakutania,1901030305,243.144297987614,-135.32722222,59.45333332999998,0.46
21AKBCH-AK568659,Skagway - Small Boat Harbor,BEACH Program Site-Ocean,AK_B_1030305_003,Yakutania,1901030305,762.753872080471,-135.31944444,59.450277780000015,0.45
21AKBCH-AK587418,Skagway - Yakutania West,BEACH Program Site-Ocean,AK_B_1030305_003,Yakutania,1901030305,21.790545208098,-135.33666667,59.4525,0.64
21AKBCH-AK622042,Skagway - Nahku Bay,BEACH Program Site-Ocean,AK_B_1030305_003,Yakutania,1901030305,258.036658380144,-135.326959,59.453290000000024,0.47
21AKBCH-AK493433,Frye Point Beach,BEACH Program Site-Ocean,AK_B_2070115_001,Buskin Beach,1902070115,6201.1905924945,-152.558933,57.718120000000006,0.62
21AKBCH-AK394314,Buskin River Beach,BEACH Program Site-Ocean,AK_B_2070115_001,Buskin Beach,1902070115,20.4718143470769,-152.479555,57.758458999999995,0.86
21AKBCH-AK986964,Mission Beach,BEACH Program Site-Ocean,AK_B_2070115_006,Mission Beach,1902070115,5.22636049788652,-152.368558,57.79960600000001,1
