Data_Note,OrganizationIdentifier,ActivityStartDate,ActivityStartTime.Time,MonitoringLocationIdentifier,TADA.MonitoringLocationName,TADA.MonitoringLocationTypeName,TADA.CharacteristicName,TADA.ResultMeasureValue,TADA.ResultMeasure.MeasureUnitCode,StatisticalBaseCode,TADA.ActivityDepthHeightMeasure.MeasureValue,TADA.ComparableDataIdentifier,TADA.ResultSampleFractionText,TADA.LatitudeMeasure,TADA.LongitudeMeasure,ML_ID,ML_Name,Latitude,Longitude,HUC10_ID,Name_AU,AUID_ATTNS,AU_Type,NavStatus
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,TEMPERATURE,5.3,DEG C,,,TEMPERATURE_NA_NA_DEG C,,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,"TEMPERATURE, AIR",4.4,DEG C,,,"TEMPERATURE, AIR_NA_NA_DEG C",,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,"STREAM FLOW, INSTANTANEOUS",4680,CFS,,,"STREAM FLOW, INSTANTANEOUS_NA_NA_CFS",,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,NITRATE + NITRITE,0.41,MG/L,,,NITRATE + NITRITE_FILTERED_AS N_MG/L,FILTERED,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,ORGANIC CARBON,1390,UG/L,,,ORGANIC CARBON_DISSOLVED_NA_UG/L,DISSOLVED,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,"HARDNESS, CA, MG",55.7,MG/L,,,"HARDNESS, CA, MG_NA_AS CACO3_MG/L",,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,CALCIUM,18300,UG/L,,,CALCIUM_DISSOLVED_NA_UG/L,DISSOLVED,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,MAGNESIUM,2440,UG/L,,,MAGNESIUM_DISSOLVED_NA_UG/L,DISSOLVED,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,SODIUM,6400,UG/L,,,SODIUM_DISSOLVED_NA_UG/L,DISSOLVED,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
Characteristic is not listed in AK DEC data sufficiency table,USGS-AK,2017-10-12,12:00:00,USGS-15292700,,STREAM,SODIUM ADSORPTION RATIO [(NA)/(SQ ROOT OF 1/2 CA + MG)],0.37,NONE,,,SODIUM ADSORPTION RATIO [(NA)/(SQ ROOT OF 1/2 CA + MG)]_NA_NA_NONE,,62.3464388,-150.019201,15292700,,62.34643879999997,-150.019201,1902050306,Talkeetna River,AK_R_2050306_006,River,Unknown
