AUID_ATTNS,MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Waterbody Type,Fraction,Use,Type,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency
AK_L_2030212_001,Lake,Lake,ALUMINUM,UG/L,DISSOLVED,5,3,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_2030212_001,Lake,Lake,COPPER,UG/L,TOTAL,5,3,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_006,Ocean,Marine,COPPER,UG/L,TOTAL,18,5,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_006,Ocean,Marine,NICKEL,UG/L,TOTAL,17,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_006,Ocean,Marine,ZINC,UG/L,TOTAL,12,5,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_008,Ocean,Marine,COPPER,UG/L,TOTAL,19,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_008,Ocean,Marine,NICKEL,UG/L,TOTAL,19,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_008,Ocean,Marine,ZINC,UG/L,TOTAL,21,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_010,Ocean,Marine,COPPER,UG/L,TOTAL,14,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_010,Ocean,Marine,NICKEL,UG/L,TOTAL,13,5,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_010,Ocean,Marine,ZINC,UG/L,TOTAL,9,6,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010207_001,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010207_001,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010207_008,Ocean,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010207_008,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010210_003,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010210_003,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010210_003,Ocean,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020401_005,Ocean,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020401_005,Ocean,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020401_005,Ocean,Marine,ZINC,UG/L,TOTAL,1,1,1,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020612_003,Ocean,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020612_003,Ocean,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,Hardness dependency not applicable.
