AUID_ATTNS,Name_AU,TADA.MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Waterbody Type,Fraction,Constituent Group,Use,Use Description,Type,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Dec Use,DEC Use Description,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency
AK_L_2030212_001,Kenai Lake,LAKE,Lake,ALUMINUM,UG/L,DISSOLVED,6,3,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_2030212_001,Kenai Lake,LAKE,Lake,HARDNESS,UG/L,TOTAL,6,3,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_2030212_001,Kenai Lake,RIVER/STREAM,Lake,CHROMIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_2030212_001,Kenai Lake,RIVER/STREAM,Lake,IRON,UG/L,TOTAL,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050110_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ALKALINITY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050110_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ALUMINUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050110_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,BARIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050110_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,HARDNESS,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050110_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,MANGANESE,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ALKALINITY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ALUMINUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,BARIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,HARDNESS,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,MANGANESE,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ALKALINITY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ALUMINUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ANTIMONY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,BARIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,HARDNESS,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,MANGANESE,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,URANIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_003,Navarakpuk Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ALKALINITY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_003,Navarakpuk Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ALUMINUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_003,Navarakpuk Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ANTIMONY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_003,Navarakpuk Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,BARIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_003,Navarakpuk Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,HARDNESS,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_003,Navarakpuk Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,MANGANESE,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050215_003,Navarakpuk Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,URANIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ALKALINITY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ANTIMONY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,BARIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,HARDNESS,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,MANGANESE,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_001,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,URANIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ALKALINITY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ALUMINUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,ANTIMONY,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,BARIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,HARDNESS,MG/L,,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,MANGANESE,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_L_6050419_002,Unnamed Lake,"LAKE, RESERVOIR, IMPOUNDMENT",Lake,URANIUM,UG/L,DISSOLVED,1,1,1,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_000,Carlanna Creek-Frontal Tongass Narrows,OCEAN,Marine,COPPER,UG/L,TOTAL,6,6,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_000,Carlanna Creek-Frontal Tongass Narrows,OCEAN,Marine,NICKEL,UG/L,TOTAL,7,7,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_000,Carlanna Creek-Frontal Tongass Narrows,OCEAN,Marine,ZINC,UG/L,TOTAL,7,7,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_008,Ward Cove,OCEAN,Marine,COPPER,UG/L,TOTAL,19,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_008,Ward Cove,OCEAN,Marine,NICKEL,UG/L,TOTAL,19,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_008,Ward Cove,OCEAN,Marine,ZINC,UG/L,TOTAL,21,6,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_011,Tongass Narrows combined,OCEAN,Marine,COPPER,UG/L,TOTAL,91,10,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_011,Tongass Narrows combined,OCEAN,Marine,NICKEL,UG/L,TOTAL,89,9,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010204_011,Tongass Narrows combined,OCEAN,Marine,ZINC,UG/L,TOTAL,92,10,6,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010207_000,Bostwick Inlet-Frontal Nichols Passage,OCEAN,Marine,COPPER,UG/L,TOTAL,2,2,2,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010207_000,Bostwick Inlet-Frontal Nichols Passage,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010207_000,Bostwick Inlet-Frontal Nichols Passage,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010210_003,Inside Passage Gravina Island-Frontal Clarence Strait,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010210_003,Inside Passage Gravina Island-Frontal Clarence Strait,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1010210_003,Inside Passage Gravina Island-Frontal Clarence Strait,OCEAN,Marine,ZINC,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020608_000,Limestone Inlet-Frontal Stephens Passage,OCEAN,Marine,COPPER,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020608_000,Limestone Inlet-Frontal Stephens Passage,OCEAN,Marine,NICKEL,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020608_000,Limestone Inlet-Frontal Stephens Passage,OCEAN,Marine,ZINC,UG/L,TOTAL,3,3,3,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020612_000,Holkham Bay-Frontal Stephens Passage,OCEAN,Marine,COPPER,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020612_000,Holkham Bay-Frontal Stephens Passage,OCEAN,Marine,NICKEL,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
AK_M_1020612_000,Holkham Bay-Frontal Stephens Passage,OCEAN,Marine,ZINC,UG/L,TOTAL,4,4,4,,,,,,,,,,,,,,,,Hardness dependency not applicable.
