AUID_ATTNS,MonitoringLocationTypeName,AU_Type,TADA.CharacteristicName,TADA.ResultMeasure.MeasureUnitCode,n_Samples,n_SampDates,n_Years,Waterbody Type,Fraction,Use,Type,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient
AK_B_1010203_001,BEACH Program Site-Ocean,Beach,ENTEROCOCCUS,MPN/100ML,83,62,4,Marine,,Primary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes
AK_B_1010203_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,85,62,4,Marine,,Aquatic Life,,2 water years,20,2,20,Yes,Yes,Yes
AK_B_1010203_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,85,62,4,Marine,,Secondary Contact Recreation,,2 water years,10,2,10,Yes,Yes,Yes
AK_B_1010203_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,85,62,4,Marine,,Secondary Contact Recreation,"15 samples 1st water year, 5 samples 2nd water year. Samples over 90-day period each water year.",2 years,10,2,10,Yes,Yes,Yes
AK_B_1010203_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,85,62,4,Marine,,Water Supply,,2 water years,10,2,10,Yes,Yes,Yes
AK_B_1010203_001,BEACH Program Site-Ocean,Beach,FECAL COLIFORM,MPN/100ML,85,62,4,Marine,,Water Supply,,2 years,10,2,10,Yes,Yes,Yes
AK_B_1010203_001,BEACH Program Site-Ocean,Beach,PH,,25,25,2,Marine,,Aquatic Life,,2 years,10,2,10,Yes,Yes,Yes
AK_B_1010203_001,BEACH Program Site-Ocean,Beach,PH,,25,25,2,Marine,,Primary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes
AK_B_1010203_001,BEACH Program Site-Ocean,Beach,PH,,25,25,2,Marine,,Secondary Contact Recreation,,2 years,10,2,10,Yes,Yes,Yes
AK_B_1010203_001,BEACH Program Site-Ocean,Beach,PH,,25,25,2,Marine,,Water Supply,,2 years,10,2,10,Yes,Yes,Yes
AK_B_1010203_001,BEACH Program Site-Ocean,Beach,"TEMPERATURE, WATER",DEG C,79,61,4,Marine,,Water Supply,,,,,,,,No
