ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,ASSESSMENT_UNIT_STATE,ASSESSMENT_UNIT_AGENCY,ASSESSMENT_UNIT_COMMENT,LOCATION_DESCRIPTION,USE_CLASS_NAME
AK_B_1010203_001,Knudson Cove Beach,AK,S,NA,19010102,Beach
AK_B_1010204_001,South Point Higgins Beach,AK,S,NA,19010102,Beach
AK_B_1010204_002,Shull Beach,AK,S,NA,19010102,Beach
AK_B_1010204_003,Sunset Beach,AK,S,NA,19010102,Beach
AK_B_1010204_004,Refuge Cove Beach,AK,S,NA,19010102,Beach
AK_B_1010204_005,Thomas Basin Harbor,AK,S,NA,19010102,Beach
AK_B_1010204_006,Seaport Beach,AK,S,NA,19010102,Beach
AK_B_1010204_007,Rotary Pool,AK,S,NA,19010102,Beach
AK_B_1010204_008,Rotary Park Beach,AK,S,NA,19010102,Beach
AK_B_1010205_001,Herring Cove Beach,AK,S,NA,19010102,Beach
AK_B_1010208_001,Mountain Point Cultural Food Beach,AK,S,NA,19010102,Beach
AK_B_1010208_002,Mountain Point Surprise Beach,AK,S,NA,19010102,Beach
AK_B_2030218_002,North Kenai Beach,AK,S,NA,Kenai Peninsula Borough,Beach
AK_B_2030218_003,South Kenai Beach,AK,S,NA,Kenai Peninsula Borough,Beach
AK_B_3030311_001,Beach @ Kanakanak (Dillingham),AK,S,NA,NA,Beach
AK_B_3030311_002,Beach @ Scandinavian Beach,AK,S,NA,NA,Beach
AK_B_3030311_003,Beach @ Snag Point,AK,S,NA,NA,Beach
AK_L_2040106_003,Campbell Lake,AK,S,NA,NA,Lake
AK_L_2040108_055,University Lake,AK,S,NA,NA,Lake
AK_L_2040108_060,Westchester Lagoon,AK,S,NA,NA,Lake
AK_L_2040108_063,Hood/Spenard Lake,AK,S,NA,Anchorage Municipality,Lake
AK_L_8030609_003,Chena Lake,AK,S,NA,NA,Lake
AK_L_8030709_001,Birch Lake,AK,S,NA,NA,Lake
AK_M_1010204_006,Tongass Narrows 2 (Alaska General Seafoods),AK,S,NA,NA,Marine
AK_M_1010204_008,Ward Cove,AK,S,NA,NA,Marine
AK_M_1010204_010,Tongass Narrows 1 (Trident Seafoods),AK,S,NA,NA,Marine
AK_M_1010210_003,Inside Passage,AK,S,NA,190101021001,Marine
