ASSESSMENT_UNIT_ID,MS_ORG_ID,MS_LOCATION_ID
AK_R_1010504_005,U.S. Geological Survey-Water Resources Discipline,USGS-15015595
AK_R_1030407_006,U.S. Geological Survey-Water Resources Discipline,USGS-15041200
AK_R_1020709_011,U.S. Geological Survey-Water Resources Discipline,USGS-15024800
AK_R_1040422_001,U.S. Geological Survey-Water Resources Discipline,USGS-15129120
AK_R_1030407_006,U.S. Geological Survey-Water Resources Discipline,USGS-15041140
AK_R_1020709_011,U.S. Geological Survey-Water Resources Discipline,USGS-15024740
AK_R_1010504_005,U.S. Geological Survey-Water Resources Discipline,USGS-15015593
AK_R_1010601_009,U.S. Geological Survey-Water Resources Discipline,USGS-15008000
AK_R_1010504_005,USGS - Alaska Water Science Center,USGS-15015595
AK_R_1010601_009,USGS - Alaska Water Science Center,USGS-15008000
AK_R_2050512_016_003,NA,AKDECWQ-LS-4 km dn
AK_R_3020311_001_002,NA,USFWS_ALASKA-580223156504200
AK_B_1010203_001,NA,21AKBCH-AK406019
AK_B_1010204_001,NA,21AKBCH-AK909574
AK_B_1010204_002,NA,21AKBCH-AK466549
AK_B_1010204_003,NA,21AKBCH-AK212340
AK_B_1010204_004,NA,21AKBCH-AK544485
AK_B_1010204_005,NA,21AKBCH-AK508635
AK_B_1010204_006,NA,21AKBCH-AK495900
AK_B_1010204_007,NA,21AKBCH-AK365539
AK_B_1010208_001,NA,21AKBCH-AK346845
AK_B_1010205_001,NA,21AKBCH-AK549954
AK_B_1010208_002,NA,21AKBCH-AK168123
AK_B_2030218_002,NA,21AKBCH-AK551272-002
AK_B_2030218_003,NA,21AKBCH-AK802097-002
AK_B_2030218_002,NA,21AKBCH-AK551272-004
AK_B_2030218_003,NA,21AKBCH-AK802097-003
AK_B_2030218_002,Alaska Department of Environmental Conservation,21AKBCH-AK551272-004
AK_B_2030218_003,Alaska Department of Environmental Conservation,21AKBCH-AK802097-003
AK_B_1021109_003,"Southeast Alaska Watershed Coalition, Hoonah Indian Association",21AKBCH-AK103349
AK_B_1010205_001,Southeast Alaska Watershed Coalition,21AKBCH-AK549954
AK_B_1010203_001,Southeast Alaska Watershed Coalition,21AKBCH-AK406019
AK_B_1010204_001,Southeast Alaska Watershed Coalition,21AKBCH-AK909574
AK_B_1010204_002,Southeast Alaska Watershed Coalition,21AKBCH-AK466549
AK_B_1010204_003,Southeast Alaska Watershed Coalition,21AKBCH-AK212340
AK_B_1010204_004,Southeast Alaska Watershed Coalition,21AKBCH-AK544485
AK_B_1010204_005,Southeast Alaska Watershed Coalition,21AKBCH-AK508635
AK_B_1010204_006,Southeast Alaska Watershed Coalition,21AKBCH-AK495900
AK_B_1010204_008,Southeast Alaska Watershed Coalition,21AKBCH-AK439531
AK_B_1010204_007,Southeast Alaska Watershed Coalition,21AKBCH-AK365539
AK_B_1010208_002,Southeast Alaska Watershed Coalition,21AKBCH-AK168123
AK_B_1010208_001,Southeast Alaska Watershed Coalition,21AKBCH-AK346845
AK_B_1010204_008,NA,21AKBCH-AK439531
AK_L_8030709_001,Alaska Department of Environmental Conservation,AKDECWQ-BL-1
AK_L_8030609_003,Alaska Department of Environmental Conservation,AKDECWQ-CL-1
AK_R_8030609_004_001,Alaska Department of Environmental Conservation,AKDECWQ-CS-1
AK_R_8030609_004_001,Alaska Department of Environmental Conservation,AKDECWQ-CS-2
AK_R_8030609_004_001,Alaska Department of Environmental Conservation,AKDECWQ-CS-3
AK_R_8030609_004_001,Alaska Department of Environmental Conservation,AKDECWQ-CS-4
AK_R_8030609_004_001,Alaska Department of Environmental Conservation,AKDECWQ-CS-5
AK_R_8030609_004_001,NA,AKDECWQ-CS-1
AK_R_8030609_004_001,NA,AKDECWQ-CS-2
AK_R_8030609_004_001,NA,AKDECWQ-CS-3
AK_R_8030609_004_001,NA,AKDECWQ-CS-4
AK_R_8030609_004_001,NA,AKDECWQ-CS-5
AK_R_8030609_004_001,NA,AKDECWQ-CS-6
AK_R_8030710_005,Tanana Valley Watershed Association,AKDECWQ-UPD1
AK_R_8030710_005,Tanana Valley Watershed Association,AKDECWQ-UPD2
AK_R_8030710_005,Tanana Valley Watershed Association,AKDECWQ-UPD3
AK_R_8030710_005,Tanana Valley Watershed Association,AKDECWQ-UPD4
AK_R_8030710_005,Tanana Valley Watershed Association,AKDECWQ-UPD5
AK_R_8030710_005,Tanana Valley Watershed Association,AKDECWQ-UPD6
AK_R_8030710_005,Tanana Valley Watershed Association,AKDECWQ-UPD7
