ASSESSMENT_UNIT_ID,WATER_TYPE,WATER_SIZE,WATER_UNIT
AK_B_1021109_001,BEACH,,
AK_B_1021109_003,BEACH,,
AK_L_2030212_001,LAKE,22.0266112147,acres
AK_M_1010207_001,MARINE,,
AK_M_1010207_008,MARINE,,
AK_M_1020401_005,MARINE,,
AK_M_1020612_003,MARINE,,
AK_M_1021008_007,MARINE,,
AK_M_1021012_001,MARINE,,
AK_M_1021109_002,MARINE,,
AK_M_1021109_005,MARINE,,
AK_M_1021201_001,MARINE,,
AK_M_1021211_007,MARINE,,
AK_M_1021212_012,MARINE,,
AK_M_1030106_001,MARINE,,
AK_M_1030108_002,MARINE,,
AK_M_1030214_001,MARINE,,
AK_M_1030308_001,MARINE,,
AK_M_1030409_004,MARINE,,
AK_M_1050002_002,MARINE,,
AK_M_1050005_001,MARINE,,
AK_M_1050006_004,MARINE,,
AK_M_1050011_007,MARINE,,
AK_M_2020205_001,MARINE,,
AK_M_2020206_011,MARINE,,
AK_M_2020302_015,MARINE,,
AK_M_2070115_011,MARINE,,
AK_M_2070115_016,MARINE,,
AK_M_3010208_006,MARINE,,
AK_M_5010416_001,MARINE,,
AK_M_5010417_001,MARINE,,
AK_M_5010420_001,MARINE,,
AK_M_6020201_004,MARINE,,
AK_R_2050512_016_002,STREAM/CREEK/RIVER,4.52655884036,miles
AK_R_3020311_001_002,STREAM/CREEK/RIVER,29.9379850404,miles
AK_R_9010501_004,STREAM/CREEK/RIVER,41.3333369253,miles
