ASSESSMENT_UNIT_ID,AGENCY_CODE,CYCLE_LAST_ASSESSED,YEAR_LAST_MONITORED
AK_B_1010203_001,S,2024,2021
AK_B_1010204_001,S,2024,2022
AK_B_1010204_002,S,2024,2021
AK_B_1010204_003,S,2024,2022
AK_B_1010204_004,S,2024,2021
AK_B_1010204_005,S,2024,2022
AK_B_1010204_006,S,2024,2021
AK_B_1010204_007,S,2024,2022
AK_B_1010204_008,S,2024,2021
AK_B_1010205_001,S,2024,2022
AK_B_1010208_001,S,2024,2022
AK_B_1010208_002,S,2024,2021
AK_B_1021109_001,S,2024,2022
AK_B_1021109_003,S,2024,2022
AK_B_2030218_002,S,2024,2022
AK_B_2030218_003,S,2024,2022
AK_L_2040106_003,S,2024,2021
AK_L_2040108_055,S,2024,2021
AK_L_2040108_060,S,2024,2021
AK_L_2040108_063,S,2024,2021
AK_L_8030609_003,S,2024,2021
AK_L_8030709_001,S,2024,2021
AK_M_1010204_006,S,2024,2022
AK_M_1010204_008,S,2024,2022
AK_M_1010204_010,S,2024,2022
AK_M_1020904_004,S,2024,2022
AK_M_1021010_006,S,2024,2022
AK_M_1021109_002,S,2024,2022
AK_M_1021109_005,S,2024,2022
AK_M_1021109_010,S,2024,2022
AK_M_1021211_005,S,2024,2022
AK_M_1021211_007,S,2024,2022
AK_M_1021212_012,S,2024,2022
AK_M_1021212_013,S,2024,2022
AK_M_1021212_017,S,2024,2022
AK_M_1030106_001,S,2024,2022
AK_M_1030106_002,S,2024,2022
AK_M_1030106_003,S,2024,2022
AK_M_1030107_025,S,2024,2022
AK_M_1030305_003,S,2024,2022
AK_M_1030308_005,S,2024,2022
AK_M_1030308_007,S,2024,2022
AK_M_1050002_002,S,2024,2022
AK_M_2020120_011,S,2024,2022
AK_M_2020205_001,S,2024,2022
AK_M_2030108_006,S,2024,2022
AK_M_2040108_006,S,2024,2022
AK_M_2070115_007,S,2024,2022
AK_M_2070115_011,S,2024,2022
AK_M_2070115_016,S,2024,2022
AK_M_3010208_005,S,2024,2022
AK_M_3010208_006,S,2024,2022
AK_M_3010208_008,S,2024,2022
AK_M_3010208_009,S,2024,2022
AK_M_5010417_001,S,2024,2022
AK_M_5010420_001,S,2024,2022
AK_R_1010504_005,S,2024,2023
AK_R_1010601_009,S,2024,2023
AK_R_1020709_011,S,2024,2023
AK_R_1030106_014,S,2024,2020
AK_R_1030407_006,S,2024,2023
AK_R_1040422_001,S,2024,2023
AK_R_2030207_012,S,2024,2021
AK_R_2030207_018,S,2024,2021
AK_R_2030214_007,S,2024,2022
AK_R_2030218_002_001,S,2024,2022
AK_R_2030218_002_002,S,2024,2022
AK_R_2030218_007,S,2024,2022
AK_R_2040102_002,S,2024,2021
AK_R_2040103_003_004,S,2024,2021
AK_R_2040104_002_001,S,2024,2021
AK_R_2040104_002_002,S,2024,2021
AK_R_2040106_001,S,2024,2022
AK_R_2040106_004,S,2024,2021
AK_R_2040106_005,S,2024,2021
AK_R_2040107_002,S,2024,2021
AK_R_2040107_003_001,S,2024,2021
AK_R_2040107_004,S,2024,2021
AK_R_2040107_005,S,2024,2021
AK_R_2040107_007,S,2024,2021
AK_R_2040108_003,S,2024,2022
AK_R_2040108_009,S,2024,2021
AK_R_2040108_022,S,2024,2022
AK_R_2050512_016_003,S,2024,2022
AK_R_2050512_016_005,S,2024,2022
AK_R_2050512_016_009,S,2024,2021
AK_R_8030606_001,S,2024,2022
AK_R_8030609_003,S,2024,2022
AK_R_8030609_004_001,S,2024,2021
AK_R_8040102_012_002,S,2024,2022
AK_R_9010501_004,S,2024,2019
