ASSESSMENT_UNIT_ID,USE_NAME,USE_ATTAINMENT_CODE,USE_AGENCY_CODE,USE_TREND,USE_THREATENED,USE_ASMT_BASIS,USE_MONITORING_START,USE_MONITORING_END,USE_ASMT_DATE,USE_ASSESSOR_NAME,USE_COMMENT,USE_STATE_IR_CAT,USE_ORG_QUALIFIER_FLAG,Cat_5s,Cat_2s,Cat_3s
AK_M_1020904_004,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",I,S,,,,2020-07-09,2022-06-01,,,,,,0,5,1
AK_M_1020904_004,MARINE / WATER RECREATION / CONTACT RECREATION,F,S,,,,2020-07-09,2022-06-01,,,,,,0,5,1
AK_M_1020904_004,MARINE / WATER RECREATION / SECONDARY RECREATION,F,S,,,,2020-07-09,2022-06-01,,,,,,0,5,1
AK_M_1020904_004,MARINE / WATER SUPPLY / AQUACULTURE,F,S,,,,2020-07-09,2022-06-01,,,,,,0,5,1
AK_M_1020904_004,MARINE / WATER SUPPLY / INDUSTRIAL,F,S,,,,2020-07-09,2022-06-01,,,,,,0,5,1
AK_M_1020904_004,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,F,S,,,,2020-07-09,2022-06-01,,,,,,0,5,1
AK_M_1021109_005,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",I,S,,,,2020-07-07,2022-05-25,,,,,,0,5,1
AK_M_1021109_005,MARINE / WATER RECREATION / CONTACT RECREATION,F,S,,,,2020-07-07,2022-05-25,,,,,,0,5,1
AK_M_1021109_005,MARINE / WATER RECREATION / SECONDARY RECREATION,F,S,,,,2020-07-07,2022-05-25,,,,,,0,5,1
AK_M_1021109_005,MARINE / WATER SUPPLY / AQUACULTURE,F,S,,,,2020-07-07,2022-05-25,,,,,,0,5,1
AK_M_1021109_005,MARINE / WATER SUPPLY / INDUSTRIAL,F,S,,,,2020-07-07,2022-05-25,,,,,,0,5,1
AK_M_1021109_005,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,F,S,,,,2020-07-07,2022-05-25,,,,,,0,5,1
AK_M_1021211_005,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",I,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021211_005,MARINE / WATER RECREATION / CONTACT RECREATION,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021211_005,MARINE / WATER RECREATION / SECONDARY RECREATION,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021211_005,MARINE / WATER SUPPLY / AQUACULTURE,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021211_005,MARINE / WATER SUPPLY / INDUSTRIAL,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021211_005,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021211_007,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",I,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021211_007,MARINE / WATER RECREATION / CONTACT RECREATION,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021211_007,MARINE / WATER RECREATION / SECONDARY RECREATION,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021211_007,MARINE / WATER SUPPLY / AQUACULTURE,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021211_007,MARINE / WATER SUPPLY / INDUSTRIAL,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021211_007,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_012,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",I,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_012,MARINE / WATER RECREATION / CONTACT RECREATION,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_012,MARINE / WATER RECREATION / SECONDARY RECREATION,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_012,MARINE / WATER SUPPLY / AQUACULTURE,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_012,MARINE / WATER SUPPLY / INDUSTRIAL,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_012,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_013,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",I,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_013,MARINE / WATER RECREATION / CONTACT RECREATION,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_013,MARINE / WATER RECREATION / SECONDARY RECREATION,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_013,MARINE / WATER SUPPLY / AQUACULTURE,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_013,MARINE / WATER SUPPLY / INDUSTRIAL,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_013,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_017,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",I,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_017,MARINE / WATER RECREATION / CONTACT RECREATION,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_017,MARINE / WATER RECREATION / SECONDARY RECREATION,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_017,MARINE / WATER SUPPLY / AQUACULTURE,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_017,MARINE / WATER SUPPLY / INDUSTRIAL,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1021212_017,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,F,S,,,,2020-07-06,2022-06-07,,,,,,0,5,1
AK_M_1030106_001,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",I,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
AK_M_1030106_001,MARINE / WATER RECREATION / CONTACT RECREATION,F,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
AK_M_1030106_001,MARINE / WATER RECREATION / SECONDARY RECREATION,F,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
AK_M_1030106_001,MARINE / WATER SUPPLY / AQUACULTURE,F,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
AK_M_1030106_001,MARINE / WATER SUPPLY / INDUSTRIAL,F,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
AK_M_1030106_001,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,F,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
AK_M_1030106_002,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",I,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
AK_M_1030106_002,MARINE / WATER RECREATION / CONTACT RECREATION,F,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
AK_M_1030106_002,MARINE / WATER RECREATION / SECONDARY RECREATION,F,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
AK_M_1030106_002,MARINE / WATER SUPPLY / AQUACULTURE,F,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
AK_M_1030106_002,MARINE / WATER SUPPLY / INDUSTRIAL,F,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
AK_M_1030106_002,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,F,S,,,,2020-07-02,2022-06-07,,,,,,0,5,1
