ASSESSMENT_UNIT_ID,USE_NAME,USE_ATTAINMENT_CODE,USE_AGENCY_CODE,USE_TREND,USE_THREATENED,USE_ASMT_BASIS,USE_MONITORING_START,USE_MONITORING_END,USE_ASMT_DATE,USE_ASSESSOR_NAME,USE_COMMENT,USE_STATE_IR_CAT,USE_ORG_QUALIFIER_FLAG,Cat_5s,Cat_2s,Cat_3s
AK_B_1010203_001,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010203_001,MARINE / WATER RECREATION / CONTACT RECREATION,N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010203_001,MARINE / WATER RECREATION / SECONDARY RECREATION,N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010203_001,MARINE / WATER SUPPLY / AQUACULTURE,N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010203_001,MARINE / WATER SUPPLY / INDUSTRIAL,N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010203_001,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010204_001,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",N,S,,,,2018-05-17,2022-09-01,,,,,,5,1,0
AK_B_1010204_001,MARINE / WATER RECREATION / CONTACT RECREATION,N,S,,,,2018-05-17,2022-09-01,,,,,,5,1,0
AK_B_1010204_001,MARINE / WATER RECREATION / SECONDARY RECREATION,F,S,,,,2018-05-17,2022-09-01,,,,,,5,1,0
AK_B_1010204_001,MARINE / WATER SUPPLY / AQUACULTURE,N,S,,,,2018-05-17,2022-09-01,,,,,,5,1,0
AK_B_1010204_001,MARINE / WATER SUPPLY / INDUSTRIAL,N,S,,,,2018-05-17,2022-09-01,,,,,,5,1,0
AK_B_1010204_001,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,N,S,,,,2018-05-17,2022-09-01,,,,,,5,1,0
AK_B_1010204_002,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010204_002,MARINE / WATER RECREATION / CONTACT RECREATION,N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010204_002,MARINE / WATER RECREATION / SECONDARY RECREATION,N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010204_002,MARINE / WATER SUPPLY / AQUACULTURE,N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010204_002,MARINE / WATER SUPPLY / INDUSTRIAL,N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010204_002,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,N,S,,,,2018-05-17,2021-09-01,,,,,,6,0,0
AK_B_1010204_003,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",N,S,,,,2018-05-17,2022-09-01,,,,,,6,0,0
AK_B_1010204_003,MARINE / WATER RECREATION / CONTACT RECREATION,N,S,,,,2018-05-17,2022-09-01,,,,,,6,0,0
AK_B_1010204_003,MARINE / WATER RECREATION / SECONDARY RECREATION,N,S,,,,2018-05-17,2022-09-01,,,,,,6,0,0
AK_B_1010204_003,MARINE / WATER SUPPLY / AQUACULTURE,N,S,,,,2018-05-17,2022-09-01,,,,,,6,0,0
AK_B_1010204_003,MARINE / WATER SUPPLY / INDUSTRIAL,N,S,,,,2018-05-17,2022-09-01,,,,,,6,0,0
AK_B_1010204_003,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,N,S,,,,2018-05-17,2022-09-01,,,,,,6,0,0
AK_B_1010204_004,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",N,S,,,,2018-05-17,2021-09-01,,,,,,5,1,0
AK_B_1010204_004,MARINE / WATER RECREATION / CONTACT RECREATION,N,S,,,,2018-05-17,2021-09-01,,,,,,5,1,0
AK_B_1010204_004,MARINE / WATER RECREATION / SECONDARY RECREATION,F,S,,,,2018-05-17,2021-09-01,,,,,,5,1,0
AK_B_1010204_004,MARINE / WATER SUPPLY / AQUACULTURE,N,S,,,,2018-05-17,2021-09-01,,,,,,5,1,0
AK_B_1010204_004,MARINE / WATER SUPPLY / INDUSTRIAL,N,S,,,,2018-05-17,2021-09-01,,,,,,5,1,0
AK_B_1010204_004,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,N,S,,,,2018-05-17,2021-09-01,,,,,,5,1,0
