Waterbody Type,Constituent Group,Constituent,TADA.CharacteristicName,Fraction,Use,Use Description,Type,Magnitude_Numeric,Units,Directionality,Frequency,Duration,Details,Source(s),Listing Methodology,Notes,AUID_ATTNS,MonitoringLocationTypeName,AU_Type,TADA.ResultMeasure.MeasureUnitCode,TADA.ResultSampleFractionText_new,n_Samples,n_SampDates,n_WaterYears,Minimum Assessment Period,Minimum number of data points,Min_Assess_Period_Yrs,Min_Num_Pts,Min_Period_Pass,Min_Data_Pass,Data_Sufficient,Hardness_Dependency,Exceed,Individual_Category,Use_Category
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,NA,28,MPN/100mL,Maximum,10% of samples,Water year average,Twelve-tube single dilution test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_B_1010203_001,BEACH Program Site-Ocean,Beach,CFU/100ML,NA,83,62,4,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,NA,28,MPN/100mL,Maximum,10% of samples,Water year average,Twelve-tube single dilution test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_B_1010203_001,BEACH Program Site-Ocean,Beach,MPN/100ML,NA,83,62,4,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,NA,31,CFU/100mL,Maximum,10% of samples,Water year average,Membrane filtration test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_B_1010203_001,BEACH Program Site-Ocean,Beach,CFU/100ML,NA,83,62,4,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,NA,31,CFU/100mL,Maximum,10% of samples,Water year average,Membrane filtration test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_B_1010203_001,BEACH Program Site-Ocean,Beach,MPN/100ML,NA,83,62,4,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,NA,43,MPN/100mL,Maximum,10% of samples,Water year average,Five-tube decimal dilution test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_B_1010203_001,BEACH Program Site-Ocean,Beach,CFU/100ML,NA,83,62,4,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,NA,43,MPN/100mL,Maximum,10% of samples,Water year average,Five-tube decimal dilution test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_B_1010203_001,BEACH Program Site-Ocean,Beach,MPN/100ML,NA,83,62,4,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,NA,49,MPN/100mL,Maximum,10% of samples,Water year average,Three-tube decimal dilution test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_B_1010203_001,BEACH Program Site-Ocean,Beach,CFU/100ML,NA,83,62,4,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,NA,49,MPN/100mL,Maximum,10% of samples,Water year average,Three-tube decimal dilution test,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_B_1010203_001,BEACH Program Site-Ocean,Beach,MPN/100ML,NA,83,62,4,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,NA,14,CFU/100mL,Maximum,Not to exceed,Water year average,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_B_1010203_001,BEACH Program Site-Ocean,Beach,CFU/100ML,NA,83,62,4,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
Marine,Bacteria,Fecal Coliform,FECAL COLIFORM,NA,Aquatic Life,Harvesting for Consumption of Raw Mollusks or Other Raw Aquatic Life,NA,14,CFU/100mL,Maximum,Not to exceed,Water year average,Geometric mean,AK DEQ SWQS; criteria-search-tool-data.xlsx,Pathogens,NA,AK_B_1010203_001,BEACH Program Site-Ocean,Beach,MPN/100ML,NA,83,62,4,2 water years,20,2,20,Yes,Yes,Yes,Hardness dependency not applicable.,Yes,5,5
