AUID_ATTNS,Waterbody Type,Use,Use_Category,overallStatus,assessmentUnitName,locationDescription,waterSize,waterSizeUnits
AK_B_1010203_001,Marine,Aquatic Life,5,Not Supporting,Knudson Cove Beach,"Knudson Cove, located in Ketchikan within the southern end of Clover Passage",0.12,Miles
AK_B_1010203_001,Marine,Primary Contact Recreation,5,Not Supporting,Knudson Cove Beach,"Knudson Cove, located in Ketchikan within the southern end of Clover Passage",0.12,Miles
AK_B_1010203_001,Marine,Secondary Contact Recreation,5,Not Supporting,Knudson Cove Beach,"Knudson Cove, located in Ketchikan within the southern end of Clover Passage",0.12,Miles
AK_B_1010203_001,Marine,Water Supply,5,Not Supporting,Knudson Cove Beach,"Knudson Cove, located in Ketchikan within the southern end of Clover Passage",0.12,Miles
AK_B_1010204_001,Marine,Aquatic Life,5,Not Supporting,South Point Higgins Beach,Located in Ketchikan on the southern portion of Port Higgins,0.48,Miles
AK_B_1010204_001,Marine,Primary Contact Recreation,5,Not Supporting,South Point Higgins Beach,Located in Ketchikan on the southern portion of Port Higgins,0.48,Miles
AK_B_1010204_001,Marine,Secondary Contact Recreation,2,Fully Supporting,South Point Higgins Beach,Located in Ketchikan on the southern portion of Port Higgins,0.48,Miles
AK_B_1010204_001,Marine,Water Supply,5,Not Supporting,South Point Higgins Beach,Located in Ketchikan on the southern portion of Port Higgins,0.48,Miles
AK_B_1010204_002,Marine,Aquatic Life,5,Not Supporting,Shull Beach,"Beach at Shull Road, located in Ketchikan on the southern portion of Port Higgins",0.2,Miles
AK_B_1010204_002,Marine,Primary Contact Recreation,5,Not Supporting,Shull Beach,"Beach at Shull Road, located in Ketchikan on the southern portion of Port Higgins",0.2,Miles
AK_B_1010204_002,Marine,Secondary Contact Recreation,5,Not Supporting,Shull Beach,"Beach at Shull Road, located in Ketchikan on the southern portion of Port Higgins",0.2,Miles
AK_B_1010204_002,Marine,Water Supply,5,Not Supporting,Shull Beach,"Beach at Shull Road, located in Ketchikan on the southern portion of Port Higgins",0.2,Miles
AK_B_1010204_003,Marine,Aquatic Life,5,Not Supporting,Sunset Beach,"Beach off Sunset Drive (Sunset Beach), located in Ketchikan South of Mud Bay on Sunset Peninsula",0.33,Miles
AK_B_1010204_003,Marine,Primary Contact Recreation,5,Not Supporting,Sunset Beach,"Beach off Sunset Drive (Sunset Beach), located in Ketchikan South of Mud Bay on Sunset Peninsula",0.33,Miles
